converter,filename,file_size_mb,memory_mb,time_sec,has_error
pdfminer,example_120kb.pdf,0.11773109436035156,1.75,0.08483648300170898,False
fitz,example_120kb.pdf,0.11773109436035156,3.75,0.010208606719970703,False
camelot,example_120kb.pdf,0.11773109436035156,5.28125,0.6567442417144775,False
pdfplumber,example_120kb.pdf,0.11773109436035156,2.75,0.0880579948425293,False
hybrid,example_120kb.pdf,0.11773109436035156,14.25,0.2668173313140869,False
pdfminer,example_121kb.pdf,0.11829090118408203,0.0,0.042081594467163086,False
fitz,example_121kb.pdf,0.11829090118408203,0.0,0.0048863887786865234,False
camelot,example_121kb.pdf,0.11829090118408203,16.390625,0.6498775482177734,False
pdfplumber,example_121kb.pdf,0.11829090118408203,0.0,0.0573732852935791,False
hybrid,example_121kb.pdf,0.11829090118408203,0.0,0.21504545211791992,False
pdfminer,example_122kb.pdf,0.119140625,0.0,0.22376060485839844,False
fitz,example_122kb.pdf,0.119140625,0.0,0.011013984680175781,False
camelot,example_122kb.pdf,0.119140625,19.203125,1.5251836776733398,False
pdfplumber,example_122kb.pdf,0.119140625,5.0,0.34760046005249023,False
hybrid,example_122kb.pdf,0.119140625,14.5,1.6307783126831055,False
pdfminer,example_1792kb.pdf,1.7505407333374023,0.0,0.002785205841064453,False
fitz,example_1792kb.pdf,1.7505407333374023,0.0,0.0006227493286132812,False
camelot,example_1792kb.pdf,1.7505407333374023,0.0,0.009244680404663086,False
pdfplumber,example_1792kb.pdf,1.7505407333374023,0.0,0.0033576488494873047,False
hybrid,example_1792kb.pdf,1.7505407333374023,14.375,9.077584028244019,False
pdfminer,example_195kb.pdf,0.19086551666259766,0.0,0.11580419540405273,False
fitz,example_195kb.pdf,0.19086551666259766,0.0,0.010981559753417969,False
camelot,example_195kb.pdf,0.19086551666259766,-14.26953125,1.0022897720336914,False
pdfplumber,example_195kb.pdf,0.19086551666259766,0.0,0.15122747421264648,False
hybrid,example_195kb.pdf,0.19086551666259766,-0.9921875,0.38629817962646484,False
pdfminer,example_215kb.pdf,0.2109079360961914,0.0,0.07950258255004883,False
fitz,example_215kb.pdf,0.2109079360961914,0.0,0.009775161743164062,False
camelot,example_215kb.pdf,0.2109079360961914,16.0546875,0.7253477573394775,False
pdfplumber,example_215kb.pdf,0.2109079360961914,0.0,0.13952112197875977,False
hybrid,example_215kb.pdf,0.2109079360961914,-0.984375,0.9485678672790527,False
pdfminer,example_2907kb.pdf,2.839179039001465,0.0,2.928551435470581,False
fitz,example_2907kb.pdf,2.839179039001465,0.0,0.27193617820739746,False
camelot,example_2907kb.pdf,2.839179039001465,934.16015625,52.10281467437744,False
pdfplumber,example_2907kb.pdf,2.839179039001465,-503.55078125,5.295960187911987,False
hybrid,example_2907kb.pdf,2.839179039001465,-70.91015625,94.62194395065308,False
pdfminer,example_301kb.pdf,0.29436206817626953,0.0,0.23576021194458008,False
fitz,example_301kb.pdf,0.29436206817626953,0.0,0.0316622257232666,False
camelot,example_301kb.pdf,0.29436206817626953,-8.75,2.304514169692993,False
pdfplumber,example_301kb.pdf,0.29436206817626953,0.0,0.4437985420227051,False
hybrid,example_301kb.pdf,0.29436206817626953,-6.01171875,1.7785873413085938,False
pdfminer,example_440kb.pdf,0.4302511215209961,0.0,0.006808757781982422,False
fitz,example_440kb.pdf,0.4302511215209961,0.0,0.001012563705444336,False
camelot,example_440kb.pdf,0.4302511215209961,0.0,0.01913619041442871,False
pdfplumber,example_440kb.pdf,0.4302511215209961,0.0,0.006268978118896484,False
hybrid,example_440kb.pdf,0.4302511215209961,0.0,21.545004844665527,False
pdfminer,example_494kb.pdf,0.48249244689941406,-1.0,1.269740343093872,False
fitz,example_494kb.pdf,0.48249244689941406,0.0,0.07152342796325684,False
camelot,example_494kb.pdf,0.48249244689941406,22.78125,10.027801036834717,False
pdfplumber,example_494kb.pdf,0.48249244689941406,0.0,1.8787133693695068,False
hybrid,example_494kb.pdf,0.48249244689941406,-2.0,6.2015814781188965,False
pdfminer,example_560kb.pdf,0.5470724105834961,0.0,0.01653909683227539,False
fitz,example_560kb.pdf,0.5470724105834961,0.0,0.0031266212463378906,False
camelot,example_560kb.pdf,0.5470724105834961,0.0,0.017721176147460938,False
pdfplumber,example_560kb.pdf,0.5470724105834961,0.0,0.01595902442932129,False
hybrid,example_560kb.pdf,0.5470724105834961,0.0,0.03569841384887695,False
pdfminer,example_572kb.pdf,0.5593957901000977,0.0,0.12797880172729492,False
fitz,example_572kb.pdf,0.5593957901000977,0.125,0.01010751724243164,False
camelot,example_572kb.pdf,0.5593957901000977,-2.0,0.9613645076751709,False
pdfplumber,example_572kb.pdf,0.5593957901000977,0.0,0.1635289192199707,False
hybrid,example_572kb.pdf,0.5593957901000977,0.0,1.4747045040130615,False
pdfminer,example_588kb.pdf,0.575108528137207,0.0,0.002990245819091797,False
fitz,example_588kb.pdf,0.575108528137207,0.0,0.0005841255187988281,False
camelot,example_588kb.pdf,0.575108528137207,0.0,0.005364418029785156,False
pdfplumber,example_588kb.pdf,0.575108528137207,0.0,0.0028884410858154297,False
hybrid,example_588kb.pdf,0.575108528137207,-1.0,4.707730293273926,False
pdfminer,example_6049kb.pdf,5.907774925231934,0.0,0.41358304023742676,False
fitz,example_6049kb.pdf,5.907774925231934,0.0,0.01301431655883789,False
camelot,example_6049kb.pdf,5.907774925231934,6.15234375,13.015107870101929,False
pdfplumber,example_6049kb.pdf,5.907774925231934,0.0,0.567671537399292,False
hybrid,example_6049kb.pdf,5.907774925231934,0.0,29.185770750045776,False
pdfminer,example_630kb.pdf,0.6154766082763672,0.0,0.8937616348266602,False
fitz,example_630kb.pdf,0.6154766082763672,0.0,0.0548863410949707,False
camelot,example_630kb.pdf,0.6154766082763672,0.0,7.962886333465576,False
pdfplumber,example_630kb.pdf,0.6154766082763672,0.0,1.4573278427124023,False
hybrid,example_630kb.pdf,0.6154766082763672,0.0,3.781965732574463,False
pdfminer,example_730kb.pdf,0.7131185531616211,0.0,0.3904383182525635,False
fitz,example_730kb.pdf,0.7131185531616211,0.0,0.030939340591430664,False
camelot,example_730kb.pdf,0.7131185531616211,0.0,3.996650218963623,False
pdfplumber,example_730kb.pdf,0.7131185531616211,0.0,0.6193711757659912,False
hybrid,example_730kb.pdf,0.7131185531616211,0.0,2.5727596282958984,False
pdfminer,example_80kb.pdf,0.07826995849609375,0.0,0.4963963031768799,False
fitz,example_80kb.pdf,0.07826995849609375,0.0,0.04975175857543945,False
camelot,example_80kb.pdf,0.07826995849609375,546.31640625,9.333030223846436,False
pdfplumber,example_80kb.pdf,0.07826995849609375,-577.98828125,1.0360243320465088,False
hybrid,example_80kb.pdf,0.07826995849609375,0.0,3.5935487747192383,False
